# Strings exported from IDA
# Format: address | length | type | string
#================================================================================

0x1400001d8 | 8 | ASCII | .text
0x140000200 | 8 | ASCII | .rdata
0x140000228 | 8 | ASCII | .data
0x140000250 | 8 | ASCII | .pdata
0x140000278 | 8 | ASCII | .rsrc
0x1400002a0 | 8 | ASCII | .reloc
0x14000a3e0 | 26 | ASCII | CR_INVALID_STRUCTURE_SIZE
0x14000a400 | 17 | ASCII | CR_INVALID_INDEX
0x14000a418 | 25 | ASCII | CR_INVALID_CONFLICT_LIST
0x14000a438 | 28 | ASCII | CR_INVALID_REFERENCE_STRING
0x14000a458 | 28 | ASCII | CR_NO_SUCH_DEVICE_INTERFACE
0x14000a478 | 27 | ASCII | CR_DEVICE_INTERFACE_ACTIVE
0x14000a498 | 20 | ASCII | CR_INVALID_PROPERTY
0x14000a4b0 | 24 | ASCII | CR_CALL_NOT_IMPLEMENTED
0x14000a4c8 | 17 | ASCII | CR_ACCESS_DENIED
0x14000a4e0 | 18 | ASCII | CR_NO_CM_SERVICES
0x14000a4f8 | 23 | ASCII | CR_MACHINE_UNAVAILABLE
0x14000a510 | 23 | ASCII | CR_REMOTE_COMM_FAILURE
0x14000a528 | 23 | ASCII | CR_INVALID_MACHINENAME
0x14000a540 | 24 | ASCII | CR_NO_SUCH_REGISTRY_KEY
0x14000a558 | 18 | ASCII | CR_SAME_RESOURCES
0x14000a570 | 16 | ASCII | CR_NO_DEPENDENT
0x14000a580 | 18 | ASCII | CR_CANT_SHARE_IRQ
0x14000a598 | 16 | ASCII | CR_QUERY_VETOED
0x14000a5a8 | 18 | ASCII | CR_FREE_RESOURCES
0x14000a5c0 | 19 | ASCII | CR_NOT_DISABLEABLE
0x14000a5d8 | 20 | ASCII | CR_INVALID_PRIORITY
0x14000a5f0 | 14 | ASCII | CR_WRONG_TYPE
0x14000a600 | 17 | ASCII | CR_NO_SUCH_VALUE
0x14000a618 | 20 | ASCII | CR_DEVICE_NOT_THERE
0x14000a630 | 23 | ASCII | CR_NO_MORE_HW_PROFILES
0x14000a648 | 16 | ASCII | CR_NEED_RESTART
0x14000a658 | 23 | ASCII | CR_DEVLOADER_NOT_READY
0x14000a670 | 15 | ASCII | CR_INVALID_API
0x14000a680 | 16 | ASCII | CR_INVALID_DATA
0x14000a690 | 21 | ASCII | CR_INVALID_DEVICE_ID
0x14000a6a8 | 18 | ASCII | CR_REGISTRY_ERROR
0x14000a6c0 | 22 | ASCII | CR_NO_REGISTRY_HANDLE
0x14000a6d8 | 17 | ASCII | CR_NO_ARBITRATOR
0x14000a6f0 | 16 | ASCII | CR_BUFFER_SMALL
0x14000a700 | 21 | ASCII | CR_INVALID_LOAD_TYPE
0x14000a718 | 14 | ASCII | CR_APM_VETOED
0x14000a728 | 17 | ASCII | CR_REMOVE_VETOED
0x14000a740 | 17 | ASCII | CR_NOT_SYSTEM_VM
0x14000a758 | 18 | ASCII | CR_CREATE_BLOCKED
0x14000a770 | 23 | ASCII | CR_NO_SUCH_LOGICAL_DEV
0x14000a788 | 11 | ASCII | CR_FAILURE
0x14000a798 | 17 | ASCII | CR_INVALID_RANGE
0x14000a7b0 | 22 | ASCII | CR_INVALID_RANGE_LIST
0x14000a7c8 | 24 | ASCII | CR_ALREADY_SUCH_DEVNODE
0x14000a7e0 | 19 | ASCII | CR_NO_MORE_RES_DES
0x14000a7f8 | 20 | ASCII | CR_NO_MORE_LOG_CONF
0x14000a810 | 19 | ASCII | CR_NO_SUCH_DEVNODE
0x14000a828 | 19 | ASCII | CR_DLVXD_NOT_FOUND
0x14000a840 | 22 | ASCII | CR_INVALID_RESOURCEID
0x14000a858 | 20 | ASCII | CR_DEVNODE_HAS_REQS
0x14000a870 | 20 | ASCII | CR_INVALID_NODELIST
0x14000a888 | 22 | ASCII | CR_INVALID_ARBITRATOR
0x14000a8a0 | 20 | ASCII | CR_INVALID_LOG_CONF
0x14000a8b8 | 19 | ASCII | CR_INVALID_RES_DES
0x14000a8d0 | 19 | ASCII | CR_INVALID_DEVNODE
0x14000a8e8 | 16 | ASCII | CR_INVALID_FLAG
0x14000a8f8 | 19 | ASCII | CR_INVALID_POINTER
0x14000a910 | 17 | ASCII | CR_OUT_OF_MEMORY
0x14000a928 | 11 | ASCII | CR_DEFAULT
0x14000a938 | 11 | ASCII | CR_SUCCESS
0x14000a950 | 8 | ASCII | ACPIBus
0x14000a960 | 7 | ASCII | PNPBus
0x14000a968 | 10 | ASCII | PNPISABus
0x14000a978 | 17 | ASCII | InternalPowerBus
0x14000a990 | 18 | ASCII | ProcessorInternal
0x14000a9a8 | 8 | ASCII | MPSABus
0x14000a9b0 | 7 | ASCII | MPIBus
